,observation_hour,speed,rpm,acceleration,throttle_position,engine_temperature,engine_load_value,heart_rate,current_weather,visibility,precipitation,accidents_onsite,design_speed,accidents_time,risk_level_real,risk_level_lbpr,risk_level_lbsp,risk_level_mlp,risk_level_ran,risk_level_gbc,voting
15876,0.3333333333333335,0.1705426356589147,0.3829594380240199,0.7339449541284404,0.1041388518024031,0.5161290322580645,0.4367469879518072,0.5322580645161291,0.0666666666666666,0.3720930232558138,0.3333333333333333,0.0433070866141732,0.0,0.0,1,2,2,2,2,2,2.0
1260,0.1666666666666669,0.4961240310077519,0.5273056877407659,0.5886850152905199,0.2042723631508677,0.290322580645161,0.1656626506024096,0.1451612903225806,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0354330708661417,0.5,0.0,1,1,1,1,1,1,1.0
6946,0.0,0.3798449612403101,0.5606163607523227,0.6743119266055047,0.2349799732977303,0.7419354838709675,0.2520080321285141,0.2903225806451613,0.0,0.9999999999999998,0.0,0.2913385826771653,0.5,0.3529411764705882,1,1,1,1,1,1,1.0
19183,0.8333333333333335,0.7906976744186046,0.6548832993428507,0.5795107033639144,0.0934579439252336,0.4193548387096775,0.2319277108433735,0.5161290322580646,0.0666666666666666,0.2480620155038759,0.1999999999999999,0.0078740157480314,1.0,0.0,2,2,2,2,2,2,2.0
19926,0.8333333333333335,0.5348837209302325,0.7462043961024246,0.7232415902140673,0.3244325767690253,0.5161290322580645,0.8624497991967872,0.4999999999999999,0.0666666666666666,0.2480620155038759,0.0,0.0275590551181102,0.5,0.0588235294117647,1,2,2,1,1,3,2.0
20572,0.8333333333333335,0.6511627906976745,0.6832087015635622,0.7033639143730888,0.0987983978638184,0.4193548387096775,0.2399598393574297,0.3709677419354839,0.0666666666666666,0.2480620155038759,0.0,0.0039370078740157,0.75,0.0,1,1,1,1,1,1,1.0
10174,0.1666666666666669,0.3255813953488372,0.4847042828008158,0.6192660550458716,0.596795727636849,0.8064516129032255,0.7761044176706827,0.2580645161290321,0.0,0.9999999999999998,0.0,0.1574803149606299,0.5,0.1764705882352941,1,1,1,1,1,1,1.0
8787,0.1666666666666669,0.0,0.2046227056424201,0.6529051987767585,0.1522029372496662,0.7096774193548385,0.2520080321285141,0.3548387096774194,0.0666666666666666,0.9999999999999998,0.0,0.2480314960629921,0.5,0.2941176470588235,2,2,2,1,1,1,1.0
18799,0.8333333333333335,0.6589147286821705,0.5529118513482891,0.6529051987767585,0.9893190921228304,0.5161290322580645,0.928714859437751,0.4677419354838709,0.0666666666666666,0.1860465116279069,0.3999999999999999,0.0039370078740157,0.5,0.0,2,2,2,2,1,3,2.0
1489,0.1666666666666669,0.5116279069767442,0.5354634035803308,0.72782874617737,0.2149532710280373,0.161290322580645,0.1767068273092369,0.1612903225806451,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0236220472440944,1.0,0.0,1,1,1,1,1,1,1.0
14254,0.1666666666666669,0.4728682170542636,0.3471561296170405,0.4740061162079511,0.0467289719626168,0.4516129032258065,0.2279116465863453,0.7741935483870966,0.4333333333333333,0.0,0.3333333333333333,0.3228346456692913,1.0,0.5294117647058824,4,3,3,3,4,4,3.0
14048,0.1666666666666669,0.2170542635658914,0.3127124405166553,0.4388379204892967,0.0467289719626168,0.5161290322580645,0.2640562248995984,0.7096774193548386,0.4333333333333333,0.0,0.0,0.3661417322834646,0.0,0.1764705882352941,3,3,3,3,3,3,3.0
15398,0.3333333333333335,0.5426356589147286,0.5744391570360299,0.6712538226299695,0.3818424566088117,0.5161290322580645,0.8895582329317269,0.6129032258064516,0.0666666666666666,0.3720930232558138,1.0,0.2125984251968504,1.0,0.1176470588235294,2,2,2,2,2,2,2.0
