,time,speed,rpm,acceleration,throttle_position,engine_temperature,system_voltage,barometric_pressure,distance_travelled,engine_load_value,altitude,id_vehicle,latitude,longitude,id_driver,heart_rate,body_temperature,current_weather,has_precipitation,is_day_time,temperature,wind_speed,wind_direction,relative_humidity,visibility,uv_index,cloud_cover,ceiling,pressure,precipitation,accidents_onsite,design_speed
0,13:47:21,0.0,598.0,0.0,12.9,94.0,13.0,75.0,0.0,23.9,2477.0,1,-0.297952,-78.460451,1,77.0,32.0,9,0,1,25.1,7.2,338.0,57.0,17.7,4.0,64.0,733.0,1014.2,0.0,29.0,70.0
2,13:47:23,0.0,598.0,0.0,12.9,94.0,13.0,75.0,0.0,23.9,2475.0,1,-0.297949,-78.460454,1,77.0,32.0,9,0,1,25.1,7.2,338.0,57.0,17.7,4.0,64.0,733.0,1014.2,0.0,29.0,70.0
3,13:47:25,0.0,598.0,0.0,12.9,94.0,13.0,75.0,0.0,23.9,2477.0,1,-0.297951,-78.46046,1,80.0,32.0,9,0,1,25.1,7.2,338.0,57.0,17.7,4.0,64.0,733.0,1014.2,0.0,29.0,70.0
4,13:47:26,0.0,591.0,0.0,12.9,94.0,13.1,75.0,0.0,23.5,2476.0,1,-0.29795,-78.460469,1,80.0,32.0,9,0,1,25.1,7.2,338.0,57.0,17.7,4.0,64.0,733.0,1014.2,0.0,29.0,70.0
5,13:47:27,0.0,603.0,0.0,12.9,95.0,13.6,75.0,0.0,23.5,2476.0,1,-0.297945,-78.46046,1,80.0,32.0,9,0,1,25.1,7.2,338.0,57.0,17.7,4.0,64.0,733.0,1014.2,0.0,29.0,70.0
6,13:47:28,0.0,603.0,0.0,12.9,95.0,13.3,75.0,0.0,23.5,2476.0,1,-0.297945,-78.460451,1,80.0,32.0,9,0,1,25.1,7.2,338.0,57.0,17.7,4.0,64.0,733.0,1014.2,0.0,29.0,70.0
7,13:47:29,0.0,612.0,0.0,12.9,95.0,13.5,75.0,0.0,23.5,2476.0,1,-0.297947,-78.460448,1,80.0,32.0,9,0,1,25.1,7.2,338.0,57.0,17.7,4.0,64.0,733.0,1014.2,0.0,29.0,70.0
8,13:47:30,0.0,612.0,0.0,12.9,95.0,13.6,75.0,0.0,25.9,2476.0,1,-0.297949,-78.460445,1,83.0,32.0,9,0,1,25.1,7.2,338.0,57.0,17.7,4.0,64.0,733.0,1014.2,0.0,29.0,70.0
9,13:47:31,0.0,598.0,0.0,12.9,95.0,12.8,75.0,0.0,25.1,2477.0,1,-0.297951,-78.460471,1,83.0,32.0,9,0,1,25.1,7.2,338.0,57.0,17.7,4.0,64.0,733.0,1014.2,0.0,29.0,70.0
10,13:47:32,0.0,589.0,0.0,12.9,95.0,12.9,75.0,0.0,27.8,2477.0,1,-0.297955,-78.460481,1,83.0,32.0,9,0,1,25.1,7.2,338.0,57.0,17.7,4.0,64.0,733.0,1014.2,0.0,29.0,70.0
11,13:47:33,0.0,599.0,0.0,12.9,95.0,12.3,75.0,0.0,27.1,2476.0,1,-0.29796,-78.460458,1,83.0,32.0,9,0,1,25.1,7.2,338.0,57.0,17.7,4.0,64.0,733.0,1014.2,0.0,29.0,70.0
12,13:47:34,0.0,570.0,0.0,14.9,95.0,12.3,75.0,0.0,29.4,2477.0,1,-0.297966,-78.460445,1,83.0,32.0,9,0,1,25.1,7.2,338.0,57.0,17.7,4.0,64.0,733.0,1014.2,0.0,29.0,70.0
13,13:47:35,2.0,690.0,0.23,13.7,95.0,13.3,75.0,0.0007,50.6,2477.0,1,-0.297966,-78.460445,1,83.0,32.0,9,0,1,25.1,7.2,338.0,57.0,17.7,4.0,64.0,733.0,1014.2,0.0,29.0,70.0
14,13:47:36,3.0,722.0,0.33,14.1,95.0,13.4,75.0,0.0012,36.5,2477.0,1,-0.297975,-78.460454,1,83.0,32.0,9,0,1,25.1,7.2,338.0,57.0,17.7,4.0,64.0,733.0,1014.2,0.0,29.0,70.0
15,13:47:37,3.0,882.0,0.28,14.1,95.0,13.4,75.0,0.0021,32.2,2478.0,1,-0.297988,-78.460462,1,83.0,32.0,9,0,1,25.1,7.2,338.0,57.0,17.7,4.0,64.0,733.0,1014.2,0.0,29.0,70.0
16,13:47:38,2.0,896.0,-0.21,14.1,95.0,13.4,75.0,0.0025,31.8,2478.0,1,-0.298001,-78.460465,1,83.0,32.0,9,0,1,25.1,7.2,338.0,57.0,17.7,4.0,64.0,733.0,1014.2,0.0,29.0,70.0
