,observation_hour,speed,rpm,acceleration,throttle_position,engine_temperature,system_voltage,distance_travelled,engine_load_value,latitude,longitude,altitude,id_vehicle,heart_rate,body_temperature,id_driver,current_weather,has_precipitation,is_day_time,temperature,wind_speed,wind_direction,relative_humidity,visibility,uv_index,cloud_cover,ceiling,pressure,precipitation,accidents_onsite,design_speed,accidents_time
0,18,0,656,0.0,12.9,95,13.1,0.0,23.9,-0.297922,-78.460482,2491.0,2,76,29.0,5,7,0,0,14.1,17.4,0.0,86.0,4.0,0.0,86.0,3139.0,1019.6,8.8,9.0,70.0,0.0
1,18,0,656,0.0,12.9,95,13.1,0.0,23.9,-0.297916,-78.460482,2489.0,2,76,29.0,5,7,0,0,14.1,17.4,0.0,86.0,4.0,0.0,86.0,3139.0,1019.6,8.8,9.0,70.0,0.0
2,18,0,656,0.0,12.9,95,13.1,0.0,23.9,-0.298045,-78.460588,2486.0,2,76,29.0,5,7,0,0,14.1,17.4,0.0,86.0,4.0,0.0,86.0,3139.0,1019.6,8.8,9.0,70.0,0.0
3,18,0,656,0.0,12.9,95,13.1,0.0,23.9,-0.29792,-78.460487,2489.0,2,76,29.0,5,7,0,0,14.1,17.4,0.0,86.0,4.0,0.0,86.0,3139.0,1019.6,8.8,9.0,70.0,0.0
4,18,0,656,0.0,12.9,95,13.1,0.0,23.9,-0.297923,-78.460489,2488.0,2,80,29.0,5,7,0,0,14.1,17.4,0.0,86.0,4.0,0.0,86.0,3139.0,1019.6,8.8,9.0,70.0,0.0
6,18,0,656,0.0,12.9,95,13.1,0.0,23.9,-0.297923,-78.460489,2488.0,2,80,29.0,5,7,0,0,14.1,17.4,0.0,86.0,4.0,0.0,86.0,3139.0,1019.6,8.8,9.0,70.0,0.0
7,18,0,673,0.0,12.9,95,13.4,0.0,24.3,-0.297923,-78.460489,2488.0,2,80,29.0,5,7,0,0,14.1,17.4,0.0,86.0,4.0,0.0,86.0,3139.0,1019.6,8.8,9.0,70.0,0.0
8,18,0,684,0.0,12.9,95,13.3,0.0,24.3,-0.297923,-78.460489,2488.0,2,80,29.0,5,7,0,0,14.1,17.4,0.0,86.0,4.0,0.0,86.0,3139.0,1019.6,8.8,9.0,70.0,0.0
9,18,0,652,0.0,12.9,95,13.3,0.0,23.9,-0.297923,-78.460489,2488.0,2,80,29.0,5,7,0,0,14.1,17.4,0.0,86.0,4.0,0.0,86.0,3139.0,1019.6,8.8,9.0,70.0,0.0
10,18,0,672,0.0,12.9,95,13.4,0.0,24.3,-0.297923,-78.460489,2488.0,2,80,29.0,5,7,0,0,14.1,17.4,0.0,86.0,4.0,0.0,86.0,3139.0,1019.6,8.8,9.0,70.0,0.0
11,18,0,662,0.0,12.9,95,13.4,0.0,24.3,-0.297923,-78.460489,2488.0,2,76,29.0,5,7,0,0,14.1,17.4,0.0,86.0,4.0,0.0,86.0,3139.0,1019.6,8.8,9.0,70.0,0.0
12,18,0,663,0.0,12.9,95,13.5,0.0,23.9,-0.297923,-78.460489,2488.0,2,76,29.0,5,7,0,0,14.1,17.4,0.0,86.0,4.0,0.0,86.0,3139.0,1019.6,8.8,9.0,70.0,0.0
13,18,0,661,0.0,12.9,95,13.5,0.0,23.9,-0.297923,-78.460489,2488.0,2,76,29.0,5,7,0,0,14.1,17.4,0.0,86.0,4.0,0.0,86.0,3139.0,1019.6,8.8,9.0,70.0,0.0
14,18,0,662,0.0,12.9,95,13.5,0.0,24.7,-0.297923,-78.460489,2488.0,2,76,29.0,5,7,0,0,14.1,17.4,0.0,86.0,4.0,0.0,86.0,3139.0,1019.6,8.8,9.0,70.0,0.0
15,18,0,678,0.0,12.9,95,13.4,0.0,24.3,-0.297923,-78.460489,2488.0,2,76,29.0,5,7,0,0,14.1,17.4,0.0,86.0,4.0,0.0,86.0,3139.0,1019.6,8.8,9.0,70.0,0.0
16,18,0,675,0.0,12.9,95,13.5,0.0,24.7,-0.297923,-78.460489,2488.0,2,76,29.0,5,7,0,0,14.1,17.4,0.0,86.0,4.0,0.0,86.0,3139.0,1019.6,8.8,9.0,70.0,0.0
17,18,0,649,0.0,12.9,95,13.4,0.0,24.3,-0.297923,-78.460489,2488.0,2,76,29.0,5,7,0,0,14.1,17.4,0.0,86.0,4.0,0.0,86.0,3139.0,1019.6,8.8,9.0,70.0,0.0
18,18,0,666,0.0,12.9,95,13.5,0.0,24.3,-0.297923,-78.460489,2488.0,2,80,29.0,5,7,0,0,14.1,17.4,0.0,86.0,4.0,0.0,86.0,3139.0,1019.6,8.8,9.0,70.0,0.0
19,18,0,672,0.0,12.9,95,13.5,0.0,23.5,-0.297923,-78.460489,2488.0,2,85,29.0,5,7,0,0,14.1,17.4,0.0,86.0,4.0,0.0,86.0,3139.0,1019.6,8.8,9.0,70.0,0.0
20,18,0,665,0.0,12.9,95,13.4,0.0,24.3,-0.297923,-78.460489,2488.0,2,85,29.0,5,7,0,0,14.1,17.4,0.0,86.0,4.0,0.0,86.0,3139.0,1019.6,8.8,9.0,70.0,0.0
21,18,0,675,0.0,12.9,95,13.5,0.0,23.9,-0.297923,-78.460489,2488.0,2,85,29.0,5,7,0,0,14.1,17.4,0.0,86.0,4.0,0.0,86.0,3139.0,1019.6,8.8,9.0,70.0,0.0
22,18,0,668,0.0,12.9,95,13.4,0.0,23.5,-0.298,-78.460608,2488.0,2,85,29.0,5,7,0,0,14.1,17.4,0.0,86.0,4.0,0.0,86.0,3139.0,1019.6,8.8,9.0,70.0,0.0
23,18,0,672,0.0,12.9,95,13.4,0.0,24.7,-0.297923,-78.460489,2489.0,2,85,29.0,5,7,0,0,14.1,17.4,0.0,86.0,4.0,0.0,86.0,3139.0,1019.6,8.8,9.0,70.0,0.0
24,18,0,675,0.0,12.5,95,13.4,0.0,23.9,-0.297923,-78.460489,2489.0,2,85,29.0,5,7,0,0,14.1,17.4,0.0,86.0,4.0,0.0,86.0,3139.0,1019.6,8.8,9.0,70.0,0.0
25,18,0,666,0.0,12.9,95,13.3,0.0,23.5,-0.297923,-78.460489,2489.0,2,85,29.0,5,7,0,0,14.1,17.4,0.0,86.0,4.0,0.0,86.0,3139.0,1019.6,8.8,9.0,70.0,0.0
26,18,0,677,0.0,12.9,95,13.4,0.0,24.7,-0.297929,-78.460488,2489.0,2,85,29.0,5,7,0,0,14.1,17.4,0.0,86.0,4.0,0.0,86.0,3139.0,1019.6,8.8,9.0,70.0,0.0
27,18,0,655,0.0,12.5,95,13.3,0.0,23.9,-0.297929,-78.460488,2489.0,2,89,29.0,5,7,0,0,14.1,17.4,0.0,86.0,4.0,0.0,86.0,3139.0,1019.6,8.8,9.0,70.0,0.0
28,18,0,654,0.0,12.9,95,13.4,0.0,23.9,-0.297929,-78.460488,2489.0,2,89,29.0,5,7,0,0,14.1,17.4,0.0,86.0,4.0,0.0,86.0,3139.0,1019.6,8.8,9.0,70.0,0.0
29,18,0,663,0.0,12.9,95,13.3,0.0,25.1,-0.297929,-78.460488,2489.0,2,85,29.0,5,7,0,0,14.1,17.4,0.0,86.0,4.0,0.0,86.0,3139.0,1019.6,8.8,9.0,70.0,0.0
30,18,0,673,0.0,12.9,95,13.5,0.0,24.7,-0.297929,-78.460488,2489.0,2,85,29.0,5,7,0,0,14.1,17.4,0.0,86.0,4.0,0.0,86.0,3139.0,1019.6,8.8,9.0,70.0,0.0
31,18,0,658,0.0,12.9,95,13.3,0.0,24.3,-0.297929,-78.460488,2489.0,2,85,29.0,5,7,0,0,14.1,17.4,0.0,86.0,4.0,0.0,86.0,3139.0,1019.6,8.8,9.0,70.0,0.0
