timestamp,position lat,position long,heart rate,cadence,distance,fractional cadence,enhanced speed,enhanced altitude,cycle length 16,,
1069685225,-3551380,-936073212,77,0,2,0,0,14942,0,72,77
1069685227,-3551382,-936073212,80,0,4,0,0,14943,0,72,80
1069685243,-3550585,-936074200,79,0,1318,0,0,14952,0,25,79
1069685246,-3548619,-936075938,78,0,3757,0,5944,14952,0,25,78
1069685248,-3546847,-936077407,81,0,5896,0,7399,14950,0,12,81
1069685250,-3544907,-936078940,82,0,8191,0,9433,14948,0,18,82
1069685252,-3542792,-936080378,81,0,10567,0,10432,14943,0,12,81
1069685253,-3541643,-936081079,80,0,11817,0,11113,14940,0,12,80
1069685255,-3539136,-936082288,79,0,14400,0,12186,14932,0,7,79
1069685257,-3536353,-936083340,78,0,17160,0,12755,14926,0,7,78
1069685259,-3533469,-936084376,77,0,20003,0,13781,14920,0,7,77
1069685261,-3530572,-936085438,75,0,22864,0,14052,14914,0,7,75
1069685263,-3527708,-936086659,74,0,25753,0,14005,14910,0,7,74
1069685264,-3526265,-936087320,73,0,27225,0,14005,14908,0,7,73
1069685266,-3523340,-936088915,73,0,30319,0,14117,14900,0,7,73
1069685268,-3520416,-936090767,75,0,33533,0,14780,14891,0,7,75
1069685270,-3517434,-936092700,76,0,36833,0,15872,14883,0,12,76
1069685272,-3514440,-936094664,76,0,40159,0,16366,14876,0,12,76
1069685273,-3512627,-936095840,76,0,42165,0,16422,14872,0,12,76
1069685275,-3509904,-936097621,77,0,45187,0,16422,14867,0,12,77
1069685276,-3508098,-936098815,77,0,47198,0,16375,14865,0,12,77
1069685278,-3505411,-936100622,77,0,50205,0,16609,14862,0,12,77
1069685280,-3502449,-936102607,76,0,53516,0,16609,14859,0,7,76
1069685282,-3499486,-936104530,75,0,56797,0,16590,14857,0,7,75
1069685284,-3496563,-936106468,74,0,60054,0,16581,14856,0,12,74
1069685286,-3493604,-936108387,72,0,63329,0,16553,14856,0,12,72
1069685288,-3490602,-936110353,71,0,66661,0,16487,14859,0,12,71
1069685290,-3487617,-936112311,71,0,69977,0,16487,14862,197,12,71
1069685292,-3486153,-936113285,68,0,71610,0,16478,14863,0,12,68
1069685293,-3483251,-936115187,68,0,74832,0,16441,14865,0,12,68
1069685295,-3480426,-936117086,68,0,77994,0,16394,14866,0,12,68
1069685297,-3477608,-936118954,67,0,81133,0,16366,14867,0,2,67
1069685298,-3476147,-936119861,67,0,82730,0,16338,14867,0,2,67
1069685300,-3473111,-936121818,66,0,86084,0,16291,14867,0,2,66
1069685302,-3469982,-936123955,66,0,89604,0,16319,14868,0,2,66
1069685304,-3466871,-936126026,67,0,93075,0,17598,14868,0,2,67
1069685306,-3463823,-936128022,67,0,96458,0,17467,14869,0,2,67
1069685308,-3460631,-936130046,68,0,99968,0,16907,14870,0,7,68
1069685309,-3459018,-936131094,68,0,101755,0,16963,14871,0,7,68
1069685311,-3455801,-936133186,68,0,105318,0,17383,14874,0,7,68
1069685313,-3452477,-936135357,68,0,109005,0,17560,14880,0,7,68
1069685315,-3449052,-936137606,68,0,112811,0,17700,14885,0,7,68
1069685316,-3447311,-936138744,68,0,114742,0,17906,14887,0,7,68
1069685318,-3443872,-936141047,68,0,118586,0,19119,14891,0,7,68
1069685320,-3440429,-936143337,68,0,122427,0,19315,14896,0,7,68
1069685322,-3437033,-936145597,68,0,126214,0,19091,14901,0,7,68
1069685324,-3433565,-936147875,68,0,130068,0,19081,14905,0,7,68
1069685325,-3431791,-936149049,68,0,132044,0,19109,14908,0,7,68
